appid,name,playtime_forever,img_icon_url,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,content_descriptorids,playtime_disconnected,has_community_visible_stats,playtime_2weeks,has_leaderboards
98800,Dungeons of Dredmor,1684,4924fdf2a9c2cf45bd7d1dcfaa4c039c60b9d410,0,0,0,0,1340262000,,0,True,,True
67370,The Darkness II,0,6ca6291fe216a8cc5c56f01b1e7f83e396a8fa81,0,0,0,0,0,,0,True,,
201700,DiRT Showdown,0,cc23d301fb2dcd0fcb1c442ff26ccef79fb891da,0,0,0,0,0,,0,True,,True
207610,The Walking Dead,0,87a13ae0a2a76488792924aa8bb0dd8a7760f931,0,0,0,0,0,"[2, 5]",0,True,,
207690,Botanicula,455,ca4545ae01f2ea66c1e3304a0b4d7282005b32b4,0,0,0,0,1439398851,,0,True,,
200260,Batman: Arkham City GOTY,1630,746ecf3ce44b2525eb7ad643e76a3b60913d2662,727,0,0,0,1626290295,,0,True,,
12750,GRID,125,c9367af908a9527040b41f6323aee4507bcba722,68,0,0,0,1609618250,,0,,,
214340,Deponia,0,48a94d33cae6065b0bedf7eefd01bd5321c7c729,0,0,0,0,0,,0,True,,
35140,Batman: Arkham Asylum GOTY Edition,1551,e52f91ecb0d3f20263e96fe188de1bcc8c91643e,0,0,0,0,1520037921,,0,True,,
204300,Awesomenauts,0,4996933171d0804bd0ceb7b9a0e224b3139d18ba,0,0,0,0,0,,0,True,,
217200,Worms Armageddon,0,68c6d17bde9c578d91dd1e207b58eb4d8308ce40,0,0,0,0,0,,0,,,
214150,Galactic Civilizations I: Ultimate Edition,0,66df956909f51af564f8d6086c201004ab81aa51,0,0,0,0,0,,0,,,
209080,Guns of Icarus Online,0,968e8c0b7a55f0229392278123dfd486140c9421,0,0,0,0,0,,0,True,,
204120,LEGO® Harry Potter: Years 5-7,0,eb9617f00259ad2dee791ec91b4862447080f0cb,0,0,0,0,0,,0,True,,
208580,STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™,6717,1c9e1a68198c15eb47b35c692fbfa5adeb7a6566,0,0,451,451,1725671242,,2,True,,
212680,FTL: Faster Than Light,2692,e8770ddb95fde0804694b116dfe3479f5a65900d,2076,0,0,0,1624399959,,0,True,,
220200,Kerbal Space Program,0,6dc8c1377c6b0ffedaeaec59c253f8c33fb3e62b,0,0,0,0,0,,0,,,
204360,Castle Crashers,2282,9b7625f9b70f103397fd0416fd92abb583db8659,1124,0,707,707,1723573913,,10,True,,
214510,LEGO® The Lord of the Rings™,0,aa7d4b19990dfe8e29de2bb90be5fcef58a78a89,0,0,0,0,0,,0,True,,
218680,Scribblenauts Unlimited,1958,e933a9993b7d0b905dbb37636a97339a2c277e0f,0,0,0,0,1540705822,,0,True,,
113020,Monaco,0,169e693854d9f70984987fa3b6b5f1f9eb27122a,0,0,0,0,0,,0,True,,True
230410,Warframe,3104,22064646470f4c53388ba87774c7ac10f0a91ffa,3104,0,0,0,1648963636,"[2, 5]",0,True,,
225260,Brütal Legend,0,e3f25fba8538e5fb1ead751e767c2774df4fb0b4,0,0,0,0,0,"[1, 2, 5]",0,True,,
210770,Sanctum 2,0,4cdfa1d19be460374a111b718ce3a204f21ea1dc,0,0,0,0,0,,0,True,,True
3910,Sid Meier's Civilization III: Complete,0,9cc953317dabd7b8e39690472872b37104b5e625,0,0,0,0,0,,0,,,
65930,The Bureau: XCOM Declassified,0,854f133d072a65e5577c2a21bf25ba863e4a6a23,0,0,0,0,0,,0,True,,
225080,Brothers - A Tale of Two Sons,0,9d6e8bcae597582734b382d8da93e5fa7b1c640b,0,0,0,0,0,"[2, 5]",0,True,,
252730,YOU DON'T KNOW JACK Vol. 1 XL,0,661e19e9ce9712cee6e522530c02360b508a03a6,0,0,0,0,0,,0,,,
253230,A Hat in Time,0,7b934282eeb45507669ed7c08378c51bb902721f,0,0,0,0,0,,0,True,,True
200170,Worms Revolution,261,15c154176bfa6bffabc7ebd31fd67de2485c6e1c,28,0,0,0,1614892480,,0,True,,
234000,Superfrog HD,0,ebdced188859df311f2dc7139462ac72d16c7979,0,0,0,0,0,,0,True,,
233130,Shadow Warrior,0,5d7c205ce18f17a99c95ff81499c2f496e0570f2,0,0,0,0,0,"[2, 5]",0,True,,
255520,Viscera Cleanup Detail: Shadow Warrior,0,56c3840d52a0da4f397d9991d368c75ed53d99fa,0,0,0,0,0,"[2, 5]",0,True,,
259940,YOU DON'T KNOW JACK Vol. 2,0,987297fc9a7cce0496acfb8bb73383b83ebaf8f5,0,0,0,0,0,,0,,,
259960,YOU DON'T KNOW JACK Vol. 3,0,6cbf75d46a17599afad43b9a8e765b6efb388180,0,0,0,0,0,,0,,,
259980,YOU DON'T KNOW JACK Vol. 4 The Ride,0,5c6019bf4dfbc1eb2fd78716e89430cea942ca10,0,0,0,0,0,,0,,,
260000,YOU DON'T KNOW JACK MOVIES,0,c42db39e1760c13752d88f4267ab53c358fec2a1,0,0,0,0,0,,0,,,
260020,YOU DON'T KNOW JACK SPORTS,0,ca4ffbd37eb1473daaab692cb877e9c6e9ca6f14,0,0,0,0,0,,0,,,
260040,YOU DON'T KNOW JACK TELEVISION,0,c82ce31ba0aad9fa68b728514a6ae8d54455d89d,0,0,0,0,0,,0,,,
260060,YOU DON'T KNOW JACK HEADRUSH,0,759a211787655f66d915d8f29e3c719f018b8330,0,0,0,0,0,,0,,,
221910,The Stanley Parable,636,d4958966dbc02d7a282c52552f71ce6910957b63,140,0,0,0,1606110311,,0,True,,
261110,Killer is Dead,0,4bb1ca7ca4ffa4be186bdf0d01d0f07c71283fd3,0,0,0,0,0,"[1, 2, 5]",0,True,,
264240,CONSORTIUM 2014,387,91ea9edf713013d8e6a212a8134609717840585a,0,0,0,0,1483413021,,0,True,,True
266310,GameGuru Classic,0,07c5b9b14641c60336cb89f05531f077dea2936a,0,0,0,0,0,,0,,,
211820,Starbound,0,4dbf4041c33eb2edfc41f552320a2e584519134c,0,0,0,0,0,,0,True,,
367540,Starbound - Unstable,0,9420b506fe5b00fd02d9005f1f5555358e3f71f7,0,0,0,0,0,,0,True,,
268870,Satellite Reign,3,b609806b16b6581548c7d2908f0f75936ea86f48,0,0,0,0,1526422434,,0,True,,
216090,Go Home Dinosaurs!,0,46cb7dbceca2e5dd7b4bf8856a84e5cbf680cbf4,0,0,0,0,0,,0,True,,
232790,Broken Age,636,4b859c6d3dbb58c102276516b4cff175e8dd4ea0,565,0,70,70,1729970370,,0,True,,
224480,Octodad: Dadliest Catch,211,a2def5192d16c9a997dfff6d4f1febcd28ee83f9,0,0,0,0,1515277655,,0,True,,
282070,This War of Mine,0,38ad6fd10e2b89ab24e8013584ece7961bebe086,0,0,0,0,0,[5],0,True,,
285160,LEGO® The Hobbit™,0,b36006499181631396618d8c32dad8c13c6263ae,0,0,0,0,0,,0,True,,
286000,Tooth and Tail,0,6f0da81e34946e4b7569dd04e07657f808773e55,0,0,0,0,0,,0,True,,True
286570,F1 2015,0,efba76526ca5cd18fabc9878c840ac583f08ead5,0,0,0,0,0,,0,True,,True
288470,Fable Anniversary,0,cf33f0a1796aabd7d0ce63af3acda1d81861ce5f,0,0,0,0,0,,0,True,,
34270,SEGA Mega Drive & Genesis Classics,0,2cda9462fbaf9309e5aedce99ad8452adf8a40bd,0,0,0,0,0,,0,True,,
238460,BattleBlock Theater,239,2f258aaff583d797812cdcf24830d5992f48733b,178,0,14,14,1724182691,,0,True,,True
280740,Aperture Tag: The Paint Gun Testing Initiative,152,64ca5b16b9daab9c30ed7a99d29f967e10e698ae,152,0,0,0,1608584541,,0,,,
312520,Rain World,145,5854494b840a18a660a495d6259d562b51f21240,0,0,145,145,1729310973,,0,True,,
265590,The Red Solstice,0,cc33fb26c140d04a20fb0fd5f549454458122322,0,0,0,0,0,"[2, 5]",0,True,,True
317400,Portal Stories: Mel,472,bf3360bc5594c6d1e8e0eeaaa2f7b09d6bf7a6e5,0,0,0,0,1522199983,,0,True,,
318600,The Flame in the Flood,0,c02a40cc55fcb8f37d02680b1ee0da53290da5bf,0,0,0,0,0,,0,True,,
320040,Moon Hunters,0,fc61b16cfd617414a286e338968dadf06a74c512,0,0,0,0,0,,0,True,,
323670,Super Indie Karts,0,4702ec43ad3a62b81d28572718f6f8226928e1f3,0,0,0,0,0,,0,,,
241930,Middle-earth™: Shadow of Mordor™,0,161afab3c9f725f593635723cc64a7fbeb324ead,0,0,0,0,0,,0,True,,
323220,Vagante,0,39723bd19ec6b125b10de1747b9974157d762785,0,0,0,0,0,,0,True,,
258970,Gauntlet™ ,0,183038d531a8cde7ac6aec03ca9bce7c49d4ca2e,0,0,0,0,0,,0,True,,
327070,Gloria Victis,0,e1459d15fd4144f9e556f2c1cf1c524ac0246d4a,0,0,0,0,0,,0,True,,
15700,Oddworld: Abe's Oddysee,0,146cabd04a2e1a813085fbc4511c10ca01fac51b,0,0,0,0,0,"[2, 5]",0,,,
331670,The Jackbox Party Pack,34,fef26835ea421361c1ba7e9f3ddad5fdaae2e581,34,0,0,0,1641012980,,0,True,,
305620,The Long Dark,0,e26b78087b75d5e002e92f2bdd73ce6fc4861e56,0,0,0,0,0,,0,True,,
334940,Yoku's Island Express,0,66f741cc9f86215db615bc7ed0910f6f15a01e53,0,0,0,0,0,,0,True,,
349730,Popup Dungeon,0,0276e171d08b42f98e4e8a5eb8e8ee749994a7b6,0,0,0,0,0,,0,True,,
354430,STAR WARS™: X-Wing Special Edition,563,0d828d0426d33e02f7b9f9d51736034115ebe640,0,0,0,0,1462576053,,0,,,
355250,STAR WARS™: TIE Fighter Special Edition,27,36ba1940435bc97506eba4f4944f5cdea731a17f,0,0,0,0,1517016388,,0,,,
356500,STAR WARS™ Galactic Battlegrounds Saga,0,c29991e260eb9e6df6f2d1eba06d9e535b5e5e9a,0,0,0,0,0,,0,,,
359840,Shift Happens,0,4babaa40ec39ec666b12b54487578770a178a657,0,0,0,0,0,,0,True,,
361670,STAR WARS™: X-Wing Alliance™,11,81cc8b5f944d7592662a265485a8be145623dce9,11,0,0,0,1608007233,,0,,,
361690,STAR WARS™ X-Wing vs TIE Fighter: Balance of Power Campaigns™,14,5d588cbee4f90e287bf95658b9fcc84ae048650f,14,0,0,0,1608051658,,0,,,
365670,Blender,156,48733cd333eea6e40711a1b9c6dde32ffe363ced,156,0,0,0,1696880525,,0,,,
238370,Magicka 2,1127,6c1ca2ff2c0f87c4d0a5378a9dbc7b7277bd239b,173,0,0,0,1626052979,,0,True,,
397080,Magicka 2: Spell Balance Beta,0,,0,0,0,0,0,,0,True,,
291550,Brawlhalla,40,c43fac31b8bf8821764603a14d09412bc3d45f66,40,0,0,0,1678393109,,0,True,,
391720,Layers of Fear (2016),0,0fc90b925c7bbdcc95df6599a01b80dff18e6bbb,0,0,0,0,0,,0,True,,
397460,The Jackbox Party Pack 2,160,b8977e5c5991a8ca261c3c77ab1125b3fc66bb88,160,0,0,0,1679872329,,0,True,,
400250,Heaven Island - VR MMO,0,870ea15929c9a6c56a9f8af94c402ae1478c0de0,0,0,0,0,0,,0,True,,
365450,Hacknet,330,2445c4ead6ee47784a326922271ec1c0b41d64e2,330,0,0,0,1609614801,[5],0,True,,
404540,Nex Machina,0,8bc02e3124a0f54328cf3bac0612675fa6c94207,0,0,0,0,0,,0,True,,
410700,System Shock: Classic,0,bf281779422082d9af5e4f46adc3123dd479690b,0,0,0,0,0,"[2, 5]",0,,,
410710,System Shock: Enhanced Edition,0,a88f9ba51194824ceeef8691c711016de62703ae,0,0,0,0,0,,0,True,,
413150,Stardew Valley,2203,35d1377200084a4034238c05b0c8930451e2fb40,0,0,2203,2203,1729559361,,0,True,,
418270,Draw Slasher,0,24e679ebbc2bf6f541f153c5af266dc83575a32a,0,0,0,0,0,,0,True,,
434170,The Jackbox Party Pack 3,486,2ad3706f17b4e4ab41a337c59a63972cf5d77032,486,0,0,0,1688173175,,0,True,,
438640,LEGO® STAR WARS™: The Force Awakens,146,371c51cb0cd1cdce9a5c5e0aad93fbc11727ab8c,0,0,0,0,1522448392,,0,True,,
441550,STAR WARS™ Rebellion,0,a2488fdf089076ddb52d0806be65e57bc71d4f24,0,0,0,0,0,,0,,,
442070,Drawful 2,20,a2aab99a9ec657f817aff247593b3310cae44288,20,0,0,0,1641012273,,0,True,,
445190,Expeditions: Viking,0,2379b1356388b0b976fbac8249154e1814f66441,0,0,0,0,0,,0,True,,
445980,Wizard of Legend,0,1177948ac90affc4ede111e2bb9f3f7b78122189,0,0,0,0,0,,0,True,,
448080,Fibbage XL,0,8ca1dcfac04dfe75d3a25c415165d1efe1284f7c,0,0,0,0,0,,0,True,,
448510,Overcooked,0,0f8cb2d03134bfbc0536dcc9a476d9ba3a1e67f5,0,0,0,0,0,,0,True,,
465200,Fury Unleashed,0,537c74691750b8a0b9fad10023d64779835989b8,0,0,0,0,0,"[2, 5]",0,True,,True
471810,Death Squared,317,cdb98c51ac4c696b198cd652b86c8359d77a244b,0,0,317,317,1714004855,,1,True,,
474960,Quantum Break,0,68c50addc599af219e4e135a81733a867c2986c2,0,0,0,0,0,,0,True,,
489830,The Elder Scrolls V: Skyrim Special Edition,0,0dfe3eed5658f9fbd8b62f8021038c0a4190f21d,0,0,0,0,0,"[1, 5]",0,True,,
494430,Praey for the Gods,0,0f0be9d92550a9664c1dc842d5fb09db70ee6cd6,0,0,0,0,0,,0,True,,
503560,911 Operator,0,823158b3e81e69f1fb9c355c86f05655575e6317,0,0,0,0,0,,0,True,,
510050,You Have 10 Seconds,0,6d86dcfda5ce2f3f90aed1e6853b885b7a36d2d4,0,0,0,0,0,,0,,,
